player url,username,player name,league rank,most played hero,time played,percent played
/en-us/players/5872,IZaYaKI,Min chul Kim,Zenyatta,10h 15m 49s,81.9%
/en-us/players/4136,Rawkus,Shane Flaherty,Zenyatta,13h 1m 47s,52.4%
/en-us/players/8790,Krillin,Young Hoon Jeong,Zenyatta,0h 24m 16s,59.7%
/en-us/players/8754,ivy,SeungHyun Lee,Zarya,11h 39m 7s,63.9%
/en-us/players/8687,RoKy,JooSung Park,Lúcio,10h 34m 51s,93.7%
/en-us/players/4093,Mano,Dong-Gyu Kim,Reinhardt,13h 58m 39s,51%
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/8675,Adora,Jaehwan Kang,Brigitte,10h 37m 23s,58.7%
/en-us/players/10021,Trill,Ash Powell,Orisa,2h 11m 43s,49.9%
/en-us/players/8718,Krystal,Shilong Cai,Brigitte,3h 13m 21s,82%
/en-us/players/3985,aKm,Dylan Bignet,Zarya,13h 1m 45s,62%
/en-us/players/10144,GARGOYLE,Beom-jun Lee,Roadhog,2h 41m 2s,47.6%
/en-us/players/8741,Guxue,Qiulin Xu,Reinhardt,12h 3m 51s,49.8%
/en-us/players/8750,Haksal,Hyojong Kim,Brigitte,22h 24m 52s,73.5%
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/8891,Luffy,Sunghyeon Yang,Zenyatta,13h 18m 7s,49.8%
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/12171,Lengsa,Jingyi Chen,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/12045,BERNAR,Sewon Shin,N/A,N/A,N/A
/en-us/players/12035,Hanbin,Hanbeen Choi,N/A,N/A,N/A
/en-us/players/12031,Myunb0ng,Sang-min Seo,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/12053,Hawk,Xander Domecq,N/A,N/A,N/A
/en-us/players/12076,ChipSa,Philip Graham,N/A,N/A,N/A
/en-us/players/12072,brussen,Thomas Brussen,N/A,N/A,N/A
/en-us/players/12051,Swimmer,Gabriel Levy,N/A,N/A,N/A
/en-us/players/11101,ELLIVOTE,Elliot Vaneryd,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/5716,moth,Grant Espe,Lúcio,27h 42m 0s,85.4%
/en-us/players/3987,SoOn,Terence Tarlier,Zarya,7h 1m 13s,40.5%
/en-us/players/8203,Fusions,Cameron Bosworth,Reinhardt,13h 15m 59s,51.4%
/en-us/players/4669,SADO,Sumin Kim,Reinhardt,11h 50m 9s,43.5%
/en-us/players/9424,Highly,SungHyuk Lee,Zenyatta,1h 53m 8s,49%
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/8642,ZachaREEE,Zachary Lombardo ,Brigitte,15h 48m 18s,61.9%
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/4631,Fleta,ByungSun Kim,Zarya,5h 49m 54s,36.7%
/en-us/players/8184,blase,Jeffrey Tsang,Brigitte,14h 37m 16s,55.1%
/en-us/players/4645,Hydration,João Pedro Goes Telles,Brigitte,11h 57m 1s,76%
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/4626,Nevix,Andreas Karlsson,D.Va,1h 31m 54s,93.8%
/en-us/players/8704,bqb,Sangbum Lee,Zarya,9h 36m 34s,39.4%
/en-us/players/12034,Xzi,Gihyo Jung,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/12054,SanGuiNar,Gyumin Lym,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/12541,Halo,Kobe Hamand,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/12046,Cr0ng,Gicheol Nam,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/4666,Gesture,Jaehui Hong,Reinhardt,12h 30m 14s,49.7%
/en-us/players/8747,Stitch,Chunghee Lee,Sombra,2h 2m 48s,30.1%
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/4659,Fury,Junho Kim,D.Va,18h 4m 49s,71.8%
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/8811,JinMu,Hu Yi,Brigitte,8h 28m 23s,32.9%
/en-us/players/8743,NiCOgdh,Nicolas Moret,Brigitte,11h 1m 57s,70.4%
/en-us/players/5717,OGE,Minseok Son,Reinhardt,12h 6m 34s,57.3%
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/4142,Agilities,Brady Girardi,Brigitte,16h 28m 42s,62.2%
/en-us/players/4104,tobi,Jinmo Yang,Lúcio,11h 8m 37s,84.5%
/en-us/players/4652,ArK,Yeonjun Hong,Lúcio,9h 53m 17s,53.7%
/en-us/players/12048,wya,Haomiao Qi,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/12191,ColdesT,Xiaodong Tong,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
